category,subtheme,text,tags,preferred_clip_count
Travel,work funds travel,"Some days I work hard. || Then I remember... || This is what I am buying back.",work|airport|ocean,3
Travel,quiet ocean,"I finally learned to slow down by the ocean.",ocean|peaceful,1
Travel,departure,"The airport wait is part of the anticipation. || Then the airplane takes over.",airport|airplane,2
Travel,mountain view,"A mountain view makes room for a different perspective.",mountain,1
Travel,road to ocean,"Another stretch of road. || Another afternoon by the ocean.",road|ocean,2
Motivation,practice,"No motivation. Still showed up for training.",fitness,1
Motivation,effort,"One workout cannot do everything. || But it is still progress.",fitness,1
Motivation,focus,"The work is quiet. || The progress takes time.",work,1
Motivation,running,"A run starts with the first step. || Keep practicing.",running|fitness,2
Motivation,routine,"A little more care in today's work.",office|work,1
Lifestyle,coffee pause,"Coffee first. || A moment to breathe next.",coffee|calm,1
Lifestyle,home,"An ordinary quiet afternoon at home is enough.",home|calm,1
Lifestyle,food,"Make time to enjoy the meal.",food,1
Lifestyle,friends,"An ordinary day with friends is worth keeping.",friends,1
Lifestyle,morning,"Let the morning begin slowly.",sunrise|calm,1
